"endTime","artistName","trackName","msPlayed"
"2022-05-03 01:23","Ke Personajes","Si No Te Tengo / Ángel / Aquello Que Pasó",16693
"2022-05-05 11:56","Sergio Torres","Mi Celosa Hermosa",38993
"2022-05-05 11:56","La Contra","No Me Enseñaste",182185
"2022-05-05 11:59","Los del Fuego","Donde Estas Corazón",176565
"2022-05-05 12:03","Los Palmeras","El Embrujo",236973
"2022-05-05 12:07","La Contra","Otro Día Más Sin Verte",245877
"2022-05-05 12:08","Ezequiel El Brujo","Dile",37497
"2022-05-05 12:08","Sergio Torres","Ahora Lloras",2646
"2022-05-05 12:10","Leo Mattioli","Si Te Agarran Las Ganas",111920
"2022-05-05 12:13","Leo Mattioli y Trinidad","Enganchados 2 (Contigo me gusta / No me acostumbro)",200386
"2022-05-05 12:16","Los del Fuego","Sabes",191612
"2022-05-05 12:20","Los Palmeras","Por Primera Vez",240885
"2022-05-05 12:22","Los Cadiz","Dudas",97860
"2022-05-05 12:26","La Contra","Loco",222723
"2022-05-05 12:29","Sergio Torres","Claro Que Te Amo",182527
"2022-05-05 12:32","Leo Mattioli","Me Preocupa, Sin Ti",187386
"2022-05-05 12:36","Leo Mattioli y Trinidad","Enganchados 1 (No la estoy pasando bien / El no es mejor que yo / No puedo con otra)",238133
"2022-05-05 12:38","Los del Fuego","Labios Compartidos",112360
"2022-05-05 15:39","Los del Fuego","Labios Compartidos",117983
"2022-05-05 15:44","Los Palmeras","Aprenderás A Llorar",259400
"2022-05-05 15:47","Los Cadiz","Dudas",1916
"2022-05-05 15:47","Tambó Tambó","Enero a Enero",184109
"2022-05-05 15:47","Sergio Torres","Ahora Lloras",1000
"2022-05-05 15:47","Super Quinteto","Bebiendo Lagrimas",117
"2022-05-05 15:51","Leo Mattioli","La Mujer Que Quiero Tener",252727
"2022-05-05 15:54","Los del Fuego","Dejame Entrar",176979
"2022-05-05 15:57","Mario Pereyra y Su Banda","Conciencia",214460
"2022-05-05 15:58","Los Cadiz","Tu Sombra en Mi",1923
"2022-05-05 15:58","Los Palmeras","Olvídala",500
"2022-05-05 15:58","Tambó Tambó","Linda Mañana",7083
"2022-05-05 15:58","Sergio Torres","Nadie",1053
"2022-05-05 16:03","Leo Mattioli","Que Lindo Es El Amor",314160
